t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,er_L,et_L
2.74000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.546604,0.405581,2.191209,-3.501234,2.956111,-0.110985,-2.260841
2.76000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.219727,-3.515749,2.956111,-0.108719,-1.891720
2.78000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.248361,-3.530036,2.956111,-0.108719,-1.923720
2.80000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.277108,-3.544092,2.956111,-0.108719,-1.955720
2.82000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.305967,-3.557919,2.956111,-0.108719,-1.987720
2.84000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.334935,-3.571514,2.956111,-0.108719,-2.019720
2.86000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.364012,-3.584877,2.956111,-0.108719,-2.051720
2.88000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.393194,-3.598007,2.956111,-0.108719,-2.083720
2.90000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.422480,-3.610903,2.956111,-0.108719,-2.115720
2.92000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.451868,-3.623565,2.956111,-0.108719,-2.147720
2.94000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.481357,-3.635990,2.956111,-0.108719,-2.179720
2.96000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.546604,0.405581,2.510945,-3.648180,2.956111,-0.108719,-2.211720
2.98000,0.878031,-2.239582,2.959205,0.907689,-1.299682,-0.003134,-0.446617,0.394966,2.540629,-3.660132,2.956111,-0.108719,-2.243720
3.00000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.570407,-3.671847,2.956111,-0.101986,-1.868814
3.02000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.600278,-3.683323,2.956111,-0.101986,-1.900814
3.04000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.630241,-3.694560,2.956111,-0.101986,-1.932814
3.06000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.660292,-3.705556,2.956111,-0.101986,-1.964814
3.08000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.690430,-3.716312,2.956111,-0.101986,-1.996814
3.10000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.720653,-3.726827,2.956111,-0.101986,-2.028814
3.12000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.750959,-3.737099,2.956111,-0.101986,-2.060814
3.14000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.781347,-3.747129,2.956111,-0.101986,-2.092814
3.16000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.811814,-3.756915,2.956111,-0.101986,-2.124814
3.18000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.842358,-3.766457,2.956111,-0.101986,-2.156814
3.20000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.446617,0.394966,2.872977,-3.775754,2.956111,-0.101986,-2.188814
3.22000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.344914,0.404534,2.903670,-3.784806,2.956111,-0.101986,-2.220814
3.24000,1.122419,-2.551271,2.959169,1.032243,-1.219535,-0.003312,-0.344914,0.404534,2.934434,-3.793613,2.956111,-0.101986,-2.252814
