timestamp,lat,lon,alt_gps,alt_ned,north,east,down,rtk_x,rtk_y,rtk_z
1749760832.921927062,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760833.181009284,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760833.421059908,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760833.681104296,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760833.901578415,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760834.180840227,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760834.421026055,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760834.680992199,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760834.940693858,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760835.160645917,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760835.420951909,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760835.681226221,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760835.901300682,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760836.160859265,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760836.420920099,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760836.680105105,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760836.920970370,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760837.180638427,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760837.421124963,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760837.660633269,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760837.920897915,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760838.180605012,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760838.420839670,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760838.680604527,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760838.900560649,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760839.160292930,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760839.421082802,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760839.681311382,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760839.940647685,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760840.160656991,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760840.420996228,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760840.660712634,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760840.920741560,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760841.181230369,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760841.420955093,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760841.660572392,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760841.920718472,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760842.180814183,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760842.421367790,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760842.681011427,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760842.901564648,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760843.161176027,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
